age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34,0,0,0,0,0,0,0,0,0,273,5,999,0,0,5,9,22,209,7,no
59,1,0,1,0,0,0,1,0,1,88,5,999,0,0,9,19,10,286,9,no
40,2,0,2,0,1,0,1,1,1,43,6,999,0,0,10,24,18,304,11,no
32,3,0,2,0,0,0,0,2,2,304,3,999,0,0,10,14,9,307,11,no
46,2,0,2,0,1,0,0,2,3,16,17,999,0,0,10,14,9,305,11,no
42,2,1,3,0,0,0,0,3,4,237,2,999,1,1,5,11,23,220,7,no
24,0,2,4,0,0,0,0,0,3,487,2,999,0,0,5,9,22,203,7,no
28,3,2,3,0,0,0,1,4,4,124,1,999,0,0,5,8,25,234,7,no
24,0,2,2,0,1,0,0,3,0,125,2,999,1,1,5,15,7,11,3,no
59,1,0,1,0,0,1,1,0,1,318,1,999,0,0,9,19,10,286,9,no
45,0,0,1,0,0,0,0,2,2,395,6,999,0,0,10,14,9,307,11,no
34,4,2,2,0,1,0,1,5,0,62,2,999,1,1,1,12,19,270,10,no
30,0,0,4,0,1,0,0,5,3,340,2,999,0,0,1,12,19,267,10,no
28,5,2,5,0,1,0,0,0,2,687,2,999,1,1,5,9,22,212,7,yes
50,6,0,2,0,1,0,1,1,4,10,11,999,0,0,10,24,18,302,11,no
42,2,0,3,0,0,0,0,6,4,287,1,999,0,0,10,18,20,300,11,no
31,7,0,3,0,0,0,0,2,4,138,1,999,0,0,10,14,9,309,11,no
60,8,0,3,0,0,0,1,0,1,245,2,999,0,0,9,19,10,286,9,no
42,0,0,1,0,0,0,0,0,1,196,1,999,0,0,5,9,22,213,7,no
30,5,2,2,0,0,0,1,6,0,130,2,999,0,0,10,18,20,303,11,no
41,2,0,3,0,0,1,1,5,2,385,1,999,0,0,1,12,19,268,10,no
28,2,2,2,0,1,0,1,1,2,284,8,999,0,0,10,24,18,305,11,no
51,6,1,3,0,1,0,0,5,3,286,6,999,1,1,1,12,19,267,10,no
53,0,0,5,0,0,0,0,0,2,251,4,999,1,1,5,9,22,212,7,no
33,2,2,3,0,1,0,0,7,3,410,1,999,1,1,8,3,1,55,4,yes
45,1,1,3,0,0,1,0,6,1,192,1,999,0,0,10,18,20,304,11,no
29,0,0,2,0,1,1,1,0,2,125,1,999,0,0,9,19,10,288,9,no
41,5,2,5,0,0,0,0,2,1,57,5,999,0,0,10,14,9,306,11,no
78,8,1,5,0,0,0,0,4,1,591,1,999,1,1,5,13,8,19,3,yes
30,0,2,2,0,0,0,0,0,3,340,1,999,0,0,5,9,22,211,7,no
24,0,2,0,0,1,0,0,1,0,128,1,3,1,2,6,10,17,203,6,no
30,5,0,5,0,0,0,0,2,1,149,1,999,0,0,10,14,9,306,11,no
28,0,2,4,0,1,0,1,0,4,159,2,999,0,0,9,19,10,286,9,no
30,2,2,3,0,1,0,0,0,3,199,1,999,0,0,5,9,22,211,7,no
63,8,0,2,0,1,0,0,7,2,335,1,999,0,0,8,3,1,68,4,yes
49,2,1,3,0,0,1,0,2,4,557,5,999,0,0,10,14,9,307,11,no
28,9,0,2,0,1,0,0,6,4,271,2,999,0,0,10,18,20,306,11,no
38,5,0,5,0,0,1,0,5,2,11,3,999,0,0,1,12,19,268,10,no
31,2,0,3,0,1,0,0,5,3,96,1,999,0,0,1,12,19,267,10,no
28,5,2,2,0,0,1,0,0,3,609,1,11,1,2,5,9,22,211,7,yes
43,2,2,3,0,1,0,0,0,1,139,2,999,0,0,5,9,22,208,7,no
55,0,0,1,0,0,0,1,0,4,116,5,999,0,0,9,19,10,286,9,no
32,2,0,3,0,1,0,0,2,0,149,2,999,0,0,10,14,9,308,11,no
63,2,0,5,0,1,0,0,7,3,235,1,6,1,2,3,25,24,170,1,no
36,0,2,4,0,0,0,1,0,3,275,1,999,0,0,9,19,10,289,9,no
52,5,0,5,0,1,0,0,6,4,221,2,999,0,0,10,18,20,306,11,no
29,2,2,3,0,0,0,0,3,0,237,4,999,0,0,5,15,7,9,3,no
44,5,1,5,0,1,0,0,3,1,208,1,999,0,0,5,11,23,227,7,no
33,1,2,3,0,0,0,0,6,2,65,1,999,0,0,10,18,20,306,11,no
38,5,1,2,0,0,0,1,5,2,137,4,999,1,1,1,12,19,268,10,no
40,2,0,3,0,1,0,1,0,0,377,1,999,0,0,9,19,10,286,9,no
45,5,0,3,0,0,0,0,5,2,278,1,999,0,0,1,12,19,268,10,no
50,3,1,3,0,0,0,0,6,2,544,11,999,0,0,10,18,20,306,11,no
31,2,2,3,0,1,0,0,3,0,164,6,999,0,0,5,11,23,220,7,no
27,5,2,5,0,0,0,0,6,1,179,3,999,0,0,10,18,20,304,11,no
37,7,0,3,0,0,0,1,5,0,215,1,999,0,0,1,12,19,270,10,no
37,0,2,0,0,1,0,1,0,4,1230,3,999,0,0,9,19,10,288,9,yes
29,5,1,2,0,1,0,0,6,2,269,1,999,0,0,10,18,20,300,11,no
44,5,1,3,0,1,0,0,6,0,154,1,999,0,0,10,18,20,305,11,no
58,3,0,3,0,1,0,0,2,1,326,4,6,3,2,4,20,12,137,2,yes
57,0,0,0,0,0,0,0,5,4,170,2,999,0,0,1,12,19,266,10,no
58,2,0,2,0,0,1,0,2,1,314,1,999,0,0,10,14,9,311,11,no
36,9,0,4,0,1,0,0,2,0,53,3,999,0,0,10,14,9,308,11,no
25,9,2,0,0,0,0,0,6,0,898,5,999,0,0,10,18,20,303,11,no
23,10,2,2,0,1,0,0,0,3,184,1,999,0,0,5,9,22,203,7,no
36,1,0,4,0,0,0,1,6,4,124,2,999,0,0,10,18,20,302,11,no
74,8,0,3,0,0,0,0,7,4,212,2,3,2,2,3,25,24,163,1,no
30,2,2,3,0,0,0,0,0,2,60,1,999,1,1,5,9,22,212,7,no
57,8,0,0,0,0,0,0,2,4,189,3,999,0,0,10,14,9,309,11,no
51,7,0,6,0,1,0,0,3,3,87,2,999,0,0,5,11,23,222,7,no
38,1,0,1,0,1,0,1,0,0,610,1,999,0,0,9,19,10,287,9,no
29,1,2,3,0,0,0,0,6,0,138,3,999,0,0,10,18,20,305,11,no
53,2,0,3,0,0,0,0,3,1,158,2,6,1,2,5,11,23,220,7,yes
34,5,2,5,0,0,0,1,6,4,225,2,999,0,0,10,18,20,302,11,no
37,1,0,3,0,1,0,0,3,0,401,1,999,0,0,5,11,23,220,7,no
43,0,0,0,0,0,0,0,0,1,180,1,999,0,0,5,9,22,213,7,no
54,6,0,0,0,1,0,0,0,2,193,1,3,1,2,5,9,22,205,7,yes
59,5,2,5,0,0,0,0,5,4,246,2,999,0,0,1,12,19,266,10,no
38,5,0,5,0,1,0,0,2,4,185,2,999,0,0,10,14,9,309,11,no
48,2,0,3,0,1,0,0,3,4,324,3,999,0,0,5,11,23,220,7,no
30,0,0,0,0,0,0,0,0,3,15,11,999,1,1,5,9,22,203,7,no
32,5,0,5,0,1,0,0,6,0,203,2,999,0,0,10,18,20,303,11,no
49,0,0,1,0,0,0,1,0,2,89,1,999,0,0,9,19,10,286,9,no
57,8,0,0,0,0,0,0,2,4,27,6,999,0,0,10,14,9,309,11,no
50,5,0,3,0,0,1,0,5,4,63,1,999,0,0,1,12,19,266,10,no
33,0,0,5,0,0,0,0,2,1,253,4,999,0,0,4,20,12,130,2,yes
33,2,0,3,0,0,0,0,5,4,37,2,999,1,1,1,12,19,266,10,no
42,5,0,3,0,0,0,1,1,0,148,4,999,0,0,10,24,18,291,11,no
35,5,0,3,0,1,0,0,6,4,187,1,999,0,0,10,18,20,300,11,no
50,5,1,5,0,0,0,1,6,4,41,2,999,0,0,10,18,20,306,11,no
49,2,0,3,0,1,0,0,1,3,259,2,999,0,0,6,10,17,195,6,yes
40,0,0,0,0,1,0,1,0,3,129,2,999,0,0,9,19,10,284,9,no
52,8,0,1,0,0,0,0,6,4,412,1,999,0,0,10,18,20,300,11,no
24,0,0,5,0,1,0,0,6,1,240,10,999,0,0,10,18,20,304,11,no
39,6,2,3,0,0,0,0,8,0,387,1,6,2,2,7,6,5,39,5,yes
32,5,0,3,0,0,0,0,2,1,328,1,999,0,0,10,14,9,306,11,no
59,8,0,3,0,0,0,0,2,1,130,10,999,0,0,10,14,9,308,11,no
58,5,0,5,0,0,1,1,1,1,150,1,999,0,0,10,24,18,290,11,no
49,6,0,5,0,0,1,0,5,3,366,2,999,1,1,8,5,3,47,4,no
35,5,0,3,0,1,0,0,5,3,1145,4,999,0,0,1,12,19,267,10,no
41,5,2,3,0,1,0,1,1,1,270,1,999,0,0,6,10,17,201,6,yes
32,2,0,3,0,0,1,0,2,1,24,12,999,0,0,10,14,9,308,11,no
50,0,0,1,0,0,0,0,2,1,406,1,999,0,0,10,14,9,306,11,no
53,5,1,5,0,1,0,1,0,1,249,1,999,0,0,9,19,10,285,9,no
26,0,0,0,0,1,0,1,0,1,295,1,999,0,0,9,19,10,285,9,no
39,0,0,1,0,0,0,1,0,2,85,1,999,0,0,9,19,10,287,9,no
37,5,2,5,0,1,0,0,2,3,120,1,999,0,0,10,14,9,306,11,no
29,2,2,2,0,1,0,0,6,1,195,2,3,3,2,4,23,15,107,2,yes
28,4,2,2,0,1,0,0,0,2,649,2,999,0,0,5,9,22,206,7,yes
42,0,0,1,0,1,0,1,0,2,200,1,999,0,0,9,19,10,288,9,no
60,2,0,3,0,0,0,1,1,0,112,1,999,0,0,10,24,18,304,11,no
36,1,0,3,0,0,0,0,5,2,638,2,999,0,0,1,12,19,268,10,no
29,2,2,3,0,0,0,0,5,3,103,1,999,0,0,1,12,19,267,10,no
46,0,0,0,0,0,0,1,0,0,194,5,999,0,0,9,19,10,287,9,no
53,2,2,4,0,0,0,1,1,0,63,1,999,0,0,10,24,18,304,11,no
39,0,0,1,0,0,0,1,0,4,159,4,999,0,0,9,19,10,290,9,no
25,10,0,3,0,0,1,1,3,3,127,7,999,0,0,5,11,23,222,7,no
46,0,2,1,0,0,0,0,8,0,1472,1,6,1,2,7,6,5,39,5,no
51,2,0,4,0,0,0,0,5,1,122,1,999,0,0,1,12,19,269,10,no
56,5,0,2,0,0,0,1,0,2,87,14,999,0,0,9,19,10,287,9,no
33,5,0,3,0,0,0,0,6,3,42,1,999,0,0,10,18,20,306,11,no
29,4,0,1,0,0,0,1,0,4,137,3,999,0,0,9,19,10,290,9,no
52,0,0,1,0,1,0,1,1,0,215,3,999,0,0,10,24,18,303,11,no
32,7,2,5,0,0,0,1,2,4,47,1,999,0,0,4,20,12,144,2,no
34,2,0,2,0,1,0,0,6,2,241,2,999,0,0,10,18,20,300,11,no
51,5,0,5,0,0,0,0,5,3,123,1,999,0,0,1,12,19,267,10,no
37,5,2,5,0,0,0,0,5,0,70,1,999,0,0,1,12,19,270,10,no
36,4,0,3,0,0,0,0,5,2,86,3,999,0,0,1,12,19,268,10,no
56,0,0,1,0,0,0,0,4,4,283,1,999,0,0,5,8,25,234,7,yes
28,0,2,0,0,0,0,0,3,4,65,2,999,0,0,5,11,23,219,7,no
33,2,0,2,0,1,0,0,5,3,133,4,999,0,0,1,12,19,267,10,no
74,8,0,2,0,0,0,0,2,3,1452,1,999,1,1,6,1,4,127,6,yes
49,9,0,1,0,1,0,1,0,4,556,1,999,0,0,9,19,10,286,9,no
52,8,1,5,0,1,0,0,6,1,867,2,999,0,0,10,18,20,304,11,no
50,4,2,2,0,1,0,1,0,1,332,1,999,0,0,9,19,10,286,9,no
37,0,0,0,0,0,0,1,0,0,138,1,999,0,0,9,19,10,287,9,no
58,1,0,3,0,1,0,1,6,1,55,1,999,0,0,10,18,20,298,11,no
40,2,2,3,0,0,0,0,2,0,160,3,999,0,0,10,14,9,308,11,no
24,4,2,2,0,0,0,0,3,1,1594,1,999,1,1,5,11,23,224,7,yes
27,4,2,5,0,0,1,1,0,1,271,1,999,0,0,9,19,10,286,9,no
31,2,0,2,0,0,0,0,6,3,244,1,999,0,0,10,18,20,306,11,no
50,2,0,0,0,0,0,0,2,3,61,1,999,0,0,10,14,9,311,11,no
38,4,1,2,0,1,0,0,3,1,311,1,999,1,1,5,11,23,227,7,no
24,4,2,2,0,0,0,0,3,1,114,1,999,0,0,5,11,23,224,7,no
30,2,2,3,0,0,0,0,1,3,106,1,3,2,2,6,10,17,200,6,no
39,1,0,3,0,0,0,1,1,4,23,1,999,0,0,10,24,18,310,11,no
83,8,1,1,0,1,0,0,9,3,268,1,9,3,2,3,22,11,123,1,yes
39,2,0,3,0,0,0,0,6,0,72,4,999,0,0,10,18,20,303,11,no
37,0,1,0,0,0,1,1,1,0,332,2,999,0,0,10,24,18,304,11,no
36,9,0,1,0,0,1,0,6,0,120,6,999,0,0,10,18,20,305,11,no
31,0,0,0,0,0,0,0,5,3,415,1,999,0,0,1,12,19,267,10,no
48,2,0,4,0,0,0,1,4,0,382,2,999,0,0,5,8,25,253,7,yes
26,0,0,0,0,0,0,0,0,1,256,1,999,0,0,5,9,22,208,7,no
37,3,0,0,0,0,1,0,6,3,171,1,999,0,0,10,18,20,306,11,no
52,0,0,1,0,0,0,0,2,1,234,2,999,0,0,10,14,9,308,11,no
31,6,0,5,0,1,0,0,0,1,356,1,999,0,0,5,9,22,208,7,no
37,2,2,3,0,0,0,0,6,2,305,2,999,0,0,10,18,20,306,11,no
41,3,0,2,0,1,0,1,0,4,165,4,999,0,0,9,19,10,288,9,no
35,1,0,3,0,1,0,0,2,1,186,1,999,0,0,10,14,9,309,11,no
41,5,2,3,0,0,0,0,2,3,127,1,999,0,0,10,14,9,307,11,no
61,0,0,5,0,0,0,0,7,3,246,2,999,0,0,3,25,24,162,1,yes
31,0,2,2,0,0,0,1,1,0,750,2,999,0,0,10,24,18,303,11,yes
52,2,0,3,0,0,1,0,0,2,159,1,999,0,0,5,9,22,205,7,no
77,8,1,1,0,1,0,0,7,3,97,2,999,0,0,8,3,1,69,4,no
25,4,2,2,0,0,0,0,6,1,218,1,999,0,0,10,18,20,304,11,no
30,5,2,3,0,1,0,0,2,4,360,1,999,0,0,10,14,9,307,11,no
57,9,0,1,0,1,0,0,5,4,216,1,999,0,0,1,12,19,266,10,no
62,8,0,1,0,1,0,0,2,4,172,4,999,0,0,6,1,4,117,6,yes
43,9,0,1,0,0,0,0,6,2,183,1,999,0,0,10,18,20,305,11,no
36,0,0,1,0,0,0,1,0,4,219,4,999,0,0,9,19,10,290,9,no
36,1,0,3,0,1,0,1,2,4,208,4,999,0,0,10,14,9,307,11,no
29,5,2,3,0,1,0,1,2,4,36,1,999,0,0,10,14,9,306,11,no
29,10,2,2,0,1,0,0,3,3,86,1,999,0,0,5,11,23,221,7,no
30,4,0,5,0,0,0,0,5,2,482,3,999,1,1,1,12,19,268,10,no
50,0,0,1,0,0,0,0,2,1,1398,1,999,0,0,6,1,4,127,6,no
38,10,2,3,0,1,0,1,1,0,194,4,999,0,0,10,24,18,291,11,no
31,2,2,3,0,0,1,1,2,1,115,2,999,0,0,6,1,4,127,6,no
25,4,0,2,0,1,0,0,6,2,59,1,999,0,0,10,18,20,300,11,no
38,2,0,0,0,0,0,0,0,1,69,1,999,1,1,5,9,22,208,7,no
40,0,0,4,0,0,0,1,0,1,211,1,999,0,0,9,19,10,286,9,no
33,2,2,3,0,1,0,0,2,0,212,10,999,0,0,10,14,9,306,11,no
48,2,1,3,0,1,0,0,2,1,58,5,999,0,0,10,14,9,308,11,no
31,5,2,3,0,0,0,0,5,3,137,5,999,0,0,1,12,19,267,10,no
50,0,0,0,0,0,0,0,3,3,1285,2,999,1,1,5,11,23,222,7,no
39,2,0,3,0,1,0,0,5,3,240,1,999,0,0,1,12,19,267,10,no
54,8,0,0,0,1,1,1,0,0,596,1,999,0,0,9,19,10,286,9,no
36,5,0,5,0,0,0,0,0,2,731,1,10,1,2,5,9,22,212,7,yes
29,4,0,2,0,1,1,0,0,2,747,2,999,1,1,5,9,22,206,7,yes
59,0,0,1,0,1,0,0,4,1,237,3,999,0,0,5,8,25,232,7,yes
36,4,1,3,0,1,0,1,0,4,208,1,999,0,0,9,19,10,284,9,no
35,0,0,0,0,1,0,1,1,1,438,1,999,0,0,10,24,18,290,11,no
