Columna_A_Borrar,Adult Mortality,infant deaths,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Life expectancy
0,263.0,62,71.27962362,65.0,1154,19.1,83,6.0,65.0,0.1,584.25921,33736494.0,17.2,17.3,0.479,10.1,65.0
16,74.0,0,364.9752287,99.0,0,58.0,0,99.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2,77.8
32,19.0,21,0.0,95.0,63,59.5,24,95.0,95.0,0.1,4132.76292,39871528.0,6.0,5.8,0.743,14.4,75.6
48,335.0,66,0.0,64.0,118,23.3,98,7.0,64.0,1.9,3695.793748,2785935.0,8.3,8.2,0.531,11.4,52.4
64,13.0,0,0.0,99.0,0,47.7,0,86.0,99.0,0.2,13566.9541,,3.3,3.3,0.784,13.9,76.4
80,116.0,8,0.0,94.0,0,62.8,9,93.0,94.0,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3,76.3
96,118.0,1,0.0,94.0,33,54.9,1,96.0,94.0,0.1,369.654776,291695.0,2.1,2.2,0.741,12.7,74.8
112,59.0,1,0.0,93.0,74,66.6,1,93.0,93.0,0.1,56554.3876,23789338.0,0.6,0.6,0.937,20.4,82.8
128,65.0,0,0.0,93.0,309,57.6,0,93.0,93.0,0.1,43665.947,8633169.0,1.9,2.1,0.892,15.9,81.5
144,118.0,5,0.0,96.0,0,52.5,6,98.0,96.0,0.1,55.31382,9649341.0,2.8,2.9,0.758,12.7,72.7
160,147.0,0,0.0,95.0,0,64.5,0,95.0,95.0,0.1,,,2.5,2.5,0.79,12.6,76.1
176,69.0,0,0.0,98.0,0,63.6,0,98.0,98.0,0.1,22688.87824,,6.2,6.1,0.823,14.5,76.9
192,129.0,92,0.0,97.0,240,18.3,113,97.0,97.0,0.1,121.15812,1612886.0,17.9,18.3,0.575,10.2,71.8
208,98.0,0,0.0,97.0,0,54.5,0,97.0,97.0,0.1,15557.8381,,3.8,3.7,0.794,15.3,75.5
224,196.0,0,0.0,99.0,2,62.3,0,99.0,99.0,0.1,5949.11677,9489616.0,1.9,2.0,0.798,15.6,72.3
240,74.0,0,0.0,98.0,47,63.7,1,99.0,99.0,0.1,4356.875,11274196.0,1.0,1.0,0.895,16.6,81.1
256,175.0,0,0.0,94.0,0,5.9,0,94.0,94.0,0.2,4849.997495,359288.0,3.5,3.4,0.706,12.8,71.0
272,249.0,25,0.0,82.0,55,25.7,39,78.0,82.0,1.0,783.94791,1575952.0,6.9,6.8,0.481,10.7,60.0
288,211.0,0,0.0,99.0,11,24.5,0,98.0,99.0,0.5,2613.645177,787386.0,15.4,16.0,0.604,12.5,69.8
304,186.0,8,0.0,99.0,0,52.6,10,99.0,99.0,0.1,,,1.2,1.1,0.671,13.8,77.0
320,88.0,0,0.0,82.0,1677,55.8,0,74.0,82.0,0.1,4574.9787,3535961.0,2.3,2.3,0.747,14.2,77.4
336,256.0,2,0.0,95.0,0,37.9,2,96.0,95.0,2.2,6532.651,229197.0,6.4,6.1,0.698,12.6,65.7
352,142.0,42,0.0,96.0,214,56.1,47,98.0,96.0,0.1,8757.2622,2596218.0,2.7,2.6,0.754,15.2,75.0
368,78.0,0,0.0,99.0,4,41.2,0,99.0,99.0,0.1,3967.8951,,5.7,5.1,0.864,14.9,77.7
384,137.0,0,0.0,92.0,0,65.7,1,91.0,91.0,0.1,6993.47736,7177991.0,1.9,1.8,0.792,15.0,74.5
400,26.0,38,0.0,91.0,99,19.4,61,91.0,91.0,0.6,615.592225,1811624.0,8.0,7.5,0.399,7.7,59.9
416,288.0,21,0.0,94.0,9,18.7,31,94.0,94.0,0.7,33.681223,119927.0,7.3,7.2,0.406,10.6,59.6
432,397.0,57,0.0,83.0,65,28.0,79,81.0,83.0,1.9,,,5.5,5.5,,,53.3
448,114.0,0,0.0,96.0,0,31.3,0,93.0,93.0,0.2,2954.119467,532913.0,6.6,6.6,0.646,13.5,73.3
464,174.0,10,0.0,89.0,0,19.6,12,87.0,89.0,0.2,1163.18977,15517635.0,1.9,1.9,0.558,10.9,68.7
480,357.0,45,0.0,84.0,1809,29.0,68,83.0,84.0,3.5,1244.429421,22834522.0,5.6,5.5,0.514,10.4,57.3
496,64.0,2,0.0,55.0,195,67.0,2,91.0,91.0,0.1,43315.744,3584861.0,0.6,0.5,0.919,16.3,82.2
512,397.0,15,0.0,47.0,150,22.7,21,47.0,47.0,4.4,348.381417,45461.0,8.2,8.2,0.347,7.1,52.5
528,356.0,46,0.0,46.0,418,19.1,77,52.0,46.0,2.8,777.248751,149413.0,8.5,8.4,0.394,7.3,53.1
544,82.0,2,0.0,97.0,9,63.8,2,96.0,96.0,0.1,13653.2264,17762681.0,0.8,0.8,0.845,16.3,85.0
560,85.0,157,0.0,99.0,42361,32.9,183,99.0,99.0,0.1,869.211938,137122.0,3.6,2.9,0.734,13.5,76.1
576,143.0,10,0.0,91.0,1,57.9,12,91.0,91.0,0.1,644.525556,48228697.0,2.1,1.9,0.724,13.6,74.8
592,227.0,1,0.0,91.0,0,24.2,2,92.0,91.0,0.8,727.6463868,777424.0,6.7,6.5,0.498,11.1,63.5
608,267.0,7,0.0,8.0,1359,27.4,10,8.0,8.0,2.8,,,7.5,7.1,0.59,11.1,64.7
625,95.0,1,0.0,92.0,0,6.5,1,92.0,92.0,0.1,1146.36273,487852.0,1.7,1.7,0.775,14.2,79.6
641,95.0,0,0.0,94.0,206,63.7,0,94.0,94.0,0.1,11579.6674,42364.0,1.5,1.4,0.823,15.3,78.0
657,92.0,1,0.0,99.0,0,61.4,1,99.0,99.0,0.1,762.261218,,3.5,3.3,0.773,13.9,79.1
673,52.0,0,0.0,97.0,0,6.3,0,97.0,97.0,0.1,2375.1127,116985.0,1.0,1.0,0.854,14.3,85.0
689,86.0,0,0.0,97.0,9,66.1,0,97.0,97.0,0.1,,,1.8,1.8,,,78.8
705,139.0,6,0.0,96.0,0,32.9,7,99.0,96.0,0.1,,,4.9,4.9,,,76.0
721,258.0,236,0.0,81.0,5020,21.6,308,78.0,81.0,1.1,,,9.5,9.3,,,59.8
737,71.0,0,0.0,,9,58.8,0,93.0,93.0,0.1,5314.64416,5683483.0,1.1,0.9,0.923,19.2,86.0
753,241.0,1,0.0,84.0,47,35.0,1,84.0,84.0,2.1,1862.167274,927414.0,5.6,5.4,0.47,6.3,63.5
770,152.0,6,0.0,81.0,0,58.9,7,87.0,85.0,0.3,6468.471648,1528394.0,3.3,3.2,0.718,13.2,73.9
786,118.0,6,0.0,78.0,0,54.2,7,84.0,78.0,0.1,625.62224,16144368.0,1.2,1.1,0.739,14.0,76.2
802,159.0,51,0.0,93.0,5432,61.1,60,93.0,93.0,0.1,,,2.8,2.8,0.688,13.1,79.0
818,178.0,2,0.0,91.0,0,56.1,2,92.0,91.0,0.2,4127.11775,6312478.0,1.6,1.5,0.678,13.2,73.5
834,32.0,3,0.0,16.0,1250,24.5,4,17.0,16.0,4.2,1347.31257,1175389.0,8.4,8.3,0.582,9.2,58.2
850,255.0,5,0.0,95.0,198,18.6,7,95.0,95.0,0.4,,,8.4,8.2,0.418,5.0,64.7
866,119.0,0,0.0,91.0,4,59.9,0,93.0,93.0,0.1,1774.9291,131547.0,1.9,1.9,0.863,16.5,77.6
882,225.0,136,0.0,77.0,17745,17.6,194,75.0,77.0,0.6,645.4637627,9987333.0,1.4,1.2,0.441,8.4,64.8
